Date,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5
2009-11-04,-0.29867226569370287,-0.010983315665013243,-3.170749537624291e-05,-3.1665008002789684e-05,-3.1974143714498604e-05,-3.16806898424652e-05
2009-12-16,-0.30430859587778125,-0.030439133505557655,-2.8612909296677067e-05,-2.858540450001236e-05,-2.8858924520407124e-05,-2.859869944496601e-05
2010-01-27,-0.17503006792379008,-0.01917774334854152,-1.944739159419572e-05,-1.941929790594981e-05,-1.9607774055161965e-05,-1.942854982734407e-05
2010-03-16,-0.2449836952982756,-0.052365332341577454,-2.9814292078075433e-05,-2.9732993785652067e-05,-3.0031617741181766e-05,-2.9747886921805494e-05
2010-04-28,-0.3289718567870147,-0.03507130375758779,-3.852206375610074e-05,-3.847823223102046e-05,-3.88720080085386e-05,-3.849801559938078e-05
2010-06-23,-0.3495379006521356,-0.03573369843502779,-3.620320458667447e-05,-3.6159412540590865e-05,-3.6527342401688767e-05,-3.617761997436176e-05
2010-08-10,-0.33235011558756217,-0.0008605265765839399,-3.062607776034783e-05,-3.058458158379694e-05,-3.088073906818766e-05,-3.059977077481483e-05
2010-09-21,-0.34464389764865905,-3.698228616141405e-05,-3.6618848224565674e-05,-3.657121238864434e-05,-3.692726211857835e-05,-3.6588949344342954e-05
2010-11-03,-0.3365598613009313,-0.00031917112750188577,-3.434808113360687e-05,-3.428091252621494e-05,-3.4614880837174024e-05,-3.429828270518121e-05
2010-12-14,-0.3704932262727067,-0.0024219054368010097,-3.5417397283329196e-05,-3.535824496046037e-05,-3.5712423036258347e-05,-3.53750438651184e-05
2011-01-26,-0.44956672053357294,-3.908019871203781e-05,-3.866999186324812e-05,-3.863063887058732e-05,-3.9014582629205965e-05,-3.8649604591178474e-05
2011-03-15,-0.45195246836454944,-0.008190020277968167,-4.367419814150821e-05,-4.3604830752632374e-05,-4.406547270620915e-05,-4.362717334232314e-05
2011-04-27,-0.3369043233838105,-3.5058075086965165e-05,-3.476293807130957e-05,-3.4710088446977184e-05,-3.506862918168011e-05,-3.4728570795890605e-05
2011-06-22,-0.22795221347990596,-2.3735548006896374e-05,-2.3519493107290446e-05,-2.3485122054116044e-05,-2.3724451615166147e-05,-2.3497343907088475e-05
2011-08-09,-0.26883662246525125,-0.007886084258178733,-2.8315619627018097e-05,-2.8280237964127407e-05,-2.856054529761091e-05,-2.8295065771666087e-05
2011-09-21,-0.1903922387315015,-1.6901753528613092e-05,-1.6759551045300417e-05,-1.6705323761756625e-05,-1.687162816196952e-05,-1.671348819134371e-05
2011-11-02,-0.2568579155117438,-2.5199272324805044e-05,-2.4994822535821818e-05,-2.49522878812343e-05,-2.5213540523422103e-05,-2.4964788454656897e-05
2011-12-13,-0.3116006353617059,-3.299553551042175e-05,-3.270317987238473e-05,-3.266863692584768e-05,-3.3018639813001904e-05,-3.26845285253045e-05
2012-01-25,-0.31679023114767757,-3.0085508800558303e-05,-2.9838478023428585e-05,-2.9801967800553973e-05,-3.0116680062856307e-05,-2.981692801761157e-05
2012-03-13,-0.4845898294546223,-5.201246323812741e-05,-5.15689675253923e-05,-5.148390518528868e-05,-5.207830736823026e-05,-5.1511750545443235e-05
2012-04-25,-0.29107159445283076,-2.7645415865860103e-05,-2.733824839407583e-05,-2.7306337944666597e-05,-2.758595970148998e-05,-2.732079405432058e-05
